connection	op	table	params
virtual-89	SELECT	txn1	121
virtual-90	MERGE	txn0	118	118	"7"	"7"
virtual-91	SELECT	txn0	118
virtual-87	MERGE	txn1	121	121	"1"	"1"
virtual-85	SELECT	txn0	118
virtual-85	SELECT	txn1	121
virtual-91	SELECT	txn1	121
virtual-85	SELECT	txn1	121
virtual-87	MERGE	txn1	121	121	"2"	"2"
virtual-89	MERGE	txn0	0	0	"1"	"1"
virtual-90	SELECT	txn1	95
virtual-91	SELECT	txn1	121
virtual-90	MERGE	txn1	121	121	"3"	"3"
virtual-100	SELECT	txn1	121
virtual-104	SELECT	txn2	122
virtual-100	MERGE	txn1	121	121	"4"	"4"
virtual-101	SELECT	txn1	121
virtual-102	SELECT	txn1	121
virtual-102	SELECT	txn1	121
virtual-103	SELECT	txn1	121
virtual-104	SELECT	txn2	122
virtual-101	MERGE	txn2	122	122	"1"	"1"
virtual-105	MERGE	txn1	121	121	"7"	"7"
virtual-104	MERGE	txn1	121	121	"6"	"6"
virtual-103	MERGE	txn2	122	122	"4"	"4"
virtual-102	MERGE	txn2	122	122	"3"	"3"
virtual-101	MERGE	txn1	121	121	"5"	"5"
virtual-106	SELECT	txn1	121
virtual-105	MERGE	txn2	122	122	"5"	"5"
virtual-108	MERGE	txn2	124	124	"2"	"2"
virtual-107	MERGE	txn2	124	124	"1"	"1"
virtual-106	MERGE	txn2	122	122	"8"	"8"
virtual-110	SELECT	txn0	125
virtual-109	MERGE	txn0	125	125	"1"	"1"
virtual-106	SELECT	txn1	121
virtual-107	SELECT	txn0	125
virtual-108	MERGE	txn1	123	123	"1"	"1"
virtual-110	SELECT	txn2	124
virtual-109	SELECT	txn1	2
virtual-109	SELECT	txn0	118
virtual-107	SELECT	txn2	124
virtual-106	MERGE	txn1	121	121	"8"	"8"
virtual-113	SELECT	txn0	125
virtual-112	MERGE	txn0	125	125	"2"	"2"
virtual-109	SELECT	txn2	124
virtual-111	MERGE	txn2	124	124	"3"	"3"
virtual-112	SELECT	txn0	118
virtual-114	SELECT	txn2	124
virtual-114	MERGE	txn2	124	124	"4"	"4"
virtual-111	SELECT	txn2	124
virtual-112	MERGE	txn0	118	118	"8"	"8"
virtual-115	MERGE	txn2	124	124	"5"	"5"
virtual-117	SELECT	txn2	124
virtual-117	MERGE	txn0	125	125	"3"	"3"
virtual-116	MERGE	txn1	126	126	"1"	"1"
virtual-117	MERGE	txn0	125	125	"4"	"4"
virtual-111	SELECT	txn2	124
virtual-112	SELECT	txn2	124
virtual-117	SELECT	txn0	125
virtual-121	SELECT	txn2	124
virtual-119	MERGE	txn0	125	125	"5"	"5"
virtual-120	SELECT	txn0	125
virtual-118	SELECT	txn0	125
virtual-122	SELECT	txn1	126
virtual-118	MERGE	txn0	101	101	"4"	"4"
virtual-118	SELECT	txn2	124
virtual-121	SELECT	txn2	124
virtual-119	SELECT	txn1	126
virtual-122	SELECT	txn1	126
virtual-120	SELECT	txn2	124
virtual-123	SELECT	txn0	128
virtual-121	SELECT	txn0	128
virtual-118	MERGE	txn2	124	124	"8"	"8"
virtual-120	SELECT	txn2	124
virtual-124	SELECT	txn1	126
virtual-122	SELECT	txn0	125
virtual-126	SELECT	txn0	125
virtual-125	MERGE	txn0	125	125	"6"	"6"
virtual-123	SELECT	txn0	125
virtual-126	MERGE	txn0	125	125	"8"	"8"
virtual-123	SELECT	txn0	128
virtual-122	SELECT	txn0	128
virtual-127	MERGE	txn1	126	126	"2"	"2"
virtual-125	MERGE	txn0	125	125	"7"	"7"
virtual-128	SELECT	txn0	128
virtual-123	MERGE	txn0	128	128	"1"	"1"
virtual-129	SELECT	txn0	128
virtual-132	MERGE	txn2	129	129	"1"	"1"
virtual-130	SELECT	txn1	126
virtual-131	SELECT	txn0	128
virtual-130	MERGE	txn0	128	128	"2"	"2"
virtual-127	SELECT	txn2	127
virtual-127	SELECT	txn0	128
virtual-133	SELECT	txn0	128
virtual-129	SELECT	txn1	126
virtual-131	MERGE	txn1	123	123	"2"	"2"
virtual-135	SELECT	txn0	128
virtual-133	MERGE	txn1	126	126	"3"	"3"
virtual-136	SELECT	txn0	128
virtual-133	SELECT	txn2	129
virtual-131	SELECT	txn0	128
virtual-134	SELECT	txn0	128
virtual-135	SELECT	txn0	128
virtual-131	SELECT	txn1	126
virtual-138	SELECT	txn0	128
virtual-138	SELECT	txn0	128
virtual-137	SELECT	txn2	127
